City Name,City Temperature,Humidity,Cloudines,Wind Speed,Latitude
novyy urengoy,-6.17,84,48,6.36,66.08
upernavik,-18.12,100,0,12.01,72.79
fairbanks,11.67,47,88,1.21,64.84
chokurdakh,-20.62,82,20,2.16,70.62
victoria,27.0,88,90,1.0,5.28
sivagiri,19.04,81,0,0.76,9.36
sukumo,10.39,75,44,2.41,32.94
talnakh,-7.47,91,92,5.21,69.49
hobart,15.0,38,20,11.3,-42.88
port hawkesbury,4.44,44,1,2.6,45.62
quincy,26.0,44,40,4.6,30.59
saldanha,7.99,59,0,3.51,41.42
saint-philippe,2.22,74,90,3.1,45.36
tulum,29.0,58,75,2.1,20.21
rikitea,26.54,97,20,6.11,-23.12
jamestown,14.84,72,76,7.31,-33.21
bredasdorp,17.0,93,80,2.6,-34.53
deputatskiy,-23.12,64,12,2.66,69.3
roma,12.78,66,0,2.1,41.89
kitoy,-3.0,100,32,1.0,52.6
paamiut,2.34,82,76,18.26,61.99
arraial do cabo,26.14,90,24,4.46,-22.97
mataura,19.44,85,80,0.89,-46.19
gizo,11.67,87,75,11.8,31.8
yellowknife,-2.22,53,75,9.3,62.45
lompoc,20.0,52,1,2.1,34.64
provideniya,0.0,97,90,7.0,64.42
busselton,9.44,48,0,8.16,-33.64
seymchan,-12.72,73,0,3.86,62.93
fortuna,12.78,58,0,1.0,38.18
hasaki,7.22,70,75,4.1,35.73
punta arenas,12.0,54,75,12.9,-53.16
wajir,26.49,50,8,4.66,1.75
kainantu,20.24,90,68,0.76,-6.29
atuona,27.99,100,44,7.36,-9.8
alice springs,25.0,78,90,5.7,-23.7
kyzyl-suu,0.64,100,44,1.41,42.34
flinders,25.56,53,0,7.7,-34.58
bambous virieux,28.0,74,75,4.6,-20.34
leningradskiy,-15.52,100,76,4.31,69.38
avarua,28.0,78,88,2.1,-21.21
luau,17.74,97,64,1.01,-10.7
vaini,19.49,88,0,0.76,15.34
qaanaaq,-31.87,74,0,3.11,77.48
gresham,17.22,38,1,2.6,45.51
kotka,-1.0,68,0,2.6,60.47
tasiilaq,-5.0,73,92,18.0,65.61
richards bay,22.84,85,36,4.36,-28.77
east london,22.59,100,44,7.96,-33.02
nikolskoye,1.11,69,0,3.0,59.7
lagoa,16.11,77,0,4.1,37.14
togur,-4.87,91,36,2.61,58.36
hithadhoo,28.49,100,88,3.66,-0.6
bathsheba,26.0,74,75,6.7,13.22
hermanus,18.89,95,64,1.06,-34.42
grindavik,0.56,100,0,5.1,63.84
norman wells,0.0,99,90,2.6,65.28
vila,15.0,72,0,1.5,45.18
kloulklubed,24.0,88,40,2.1,7.04
carnarvon,16.19,51,0,4.46,-30.97
klaksvik,4.0,80,0,6.2,62.23
at-bashi,-15.47,66,0,0.61,41.17
puerto ayora,29.0,74,0,4.1,-0.74
nizhniy odes,0.64,84,88,3.31,63.64
lebu,19.0,34,20,3.1,8.96
bonfim,32.49,39,0,6.01,3.36
kavaratti,28.39,100,0,1.31,10.57
ahipara,22.99,73,76,4.91,-35.17
matamoros,27.0,57,75,7.2,25.87
esperance,28.0,65,20,6.2,10.24
hami,0.04,49,0,2.36,42.84
zhezkazgan,-4.67,83,44,1.41,47.8
verkhnevilyuysk,-16.02,64,0,1.86,63.45
torbay,1.11,86,75,11.8,47.66
hobyo,25.69,89,68,3.51,5.35
mnogovershinnyy,-7.17,70,44,1.31,53.94
castro,14.0,67,0,4.1,-42.48
hamilton,10.0,74,90,5.1,43.26
khatanga,-14.32,80,68,4.86,71.98
lubango,16.59,87,12,0.56,-14.92
ossora,-10.72,93,76,7.41,59.24
tuktoyaktuk,-6.0,79,75,3.6,69.44
geraldton,-4.0,21,5,5.1,49.72
bogande,23.49,52,20,1.26,12.97
bluff,28.39,62,12,2.56,-23.58
san andres,24.99,100,80,2.86,13.32
inhambane,22.49,100,20,2.66,-23.87
thompson,-5.0,29,20,4.1,55.74
gilgit,-5.97,91,80,0.16,35.92
ribeira grande,14.89,100,44,0.96,38.52
dwarka,17.0,88,40,3.6,28.58
port-cartier,-8.89,28,20,6.2,50.03
batemans bay,23.89,68,68,3.13,-35.71
college,11.67,45,1,5.7,64.86
svetlogorsk,-5.0,92,20,2.0,53.14
shenzhen,18.89,93,40,7.7,22.54
prince rupert,12.0,68,1,2.6,54.32
nouakchott,18.0,82,0,5.1,18.08
port alfred,21.67,94,24,2.68,-33.59
rio cuarto,21.0,46,0,5.1,-33.13
ushuaia,12.0,40,75,5.1,-54.81
pudozh,-3.77,92,12,4.21,61.81
vardo,18.0,16,1,2.6,39.62
bethel,4.0,86,90,8.7,60.79
adre,24.74,20,0,5.11,13.47
lampazos de naranjo,30.14,36,0,3.21,27.02
butaritari,28.39,100,76,3.91,3.07
kodiak,13.89,93,90,5.7,39.95
kysyl-syr,-15.92,63,20,2.31,63.9
clyde river,-25.0,75,75,14.4,70.47
carayao,22.49,79,12,1.41,-25.18
abalak,24.64,29,68,4.66,15.46
severo-kurilsk,-2.52,100,48,6.96,50.68
netivot,11.67,89,48,1.34,31.42
kaitangata,21.99,79,68,1.71,-46.28
puerto montt,14.0,62,0,7.2,-41.47
georgetown,29.0,70,40,5.1,6.8
airai,25.14,77,8,0.96,-8.93
vila velha,28.0,78,40,2.1,-3.71
san rafael del sur,34.0,36,20,5.1,11.85
buchanan,26.0,94,20,2.96,5.88
chuy,17.54,77,0,7.46,-33.69
ust-maya,-14.67,72,8,2.81,60.42
mar del plata,12.24,90,0,2.56,-46.43
palmer,18.33,76,75,11.3,-34.85
kapaa,24.0,83,90,6.7,22.08
vestmanna,4.0,80,0,6.2,62.16
buala,29.89,81,92,2.31,-8.15
dikson,-4.32,93,88,15.71,73.51
conakry,26.0,88,40,4.36,9.52
los llanos de aridane,16.0,63,0,2.6,28.66
broome,9.0,75,8,5.1,52.47
albany,13.33,20,75,6.7,42.65
praia da vitoria,15.0,87,20,4.21,38.73
henties bay,16.67,87,44,0.45,-22.12
susuman,-14.67,80,36,1.66,62.78
fukue,12.22,65,40,2.6,35.03
uvinza,16.74,94,24,0.96,-5.1
honolulu,28.0,48,75,7.2,21.3
guerrero negro,20.64,50,12,5.86,27.97
shingu,12.99,100,20,2.41,33.72
ilulissat,-1.0,54,80,10.3,69.22
balti,7.22,77,0,1.5,47.76
new norfolk,15.0,38,20,11.3,-42.78
kununurra,26.0,83,0,2.1,-15.77
morondava,25.64,98,0,2.06,-20.3
huanren,4.29,57,0,1.56,41.26
yulara,25.0,47,64,6.2,-25.24
alyangula,29.0,83,40,2.6,-13.85
assiniboia,-0.47,99,92,4.46,49.63
chapais,-12.0,32,1,5.7,49.78
faanui,29.89,97,12,6.01,-16.48
dingle,26.54,63,0,5.36,11.0
cape town,19.44,82,0,6.2,-33.93
cap malheureux,28.0,74,75,4.6,-19.98
vao,-0.42,86,8,4.31,59.1
noumea,28.0,61,0,3.1,-22.28
sistranda,2.22,92,75,2.1,63.73
ostrovnoy,-2.27,86,56,5.66,68.05
codrington,28.89,69,56,1.5,-28.95
luderitz,14.89,92,20,5.61,-26.65
ust-kuyga,-24.92,78,8,1.51,70.0
rosarito,25.0,93,75,1.5,4.91
hilo,23.33,88,90,8.06,19.71
merauke,27.49,90,36,3.31,-8.49
huarmey,20.99,76,24,1.61,-10.07
ancud,14.0,67,0,4.1,-41.87
oporelu,11.0,32,0,2.6,44.6
sinnamary,26.89,92,68,5.41,5.38
yeppoon,26.0,78,76,3.6,-23.13
medvedok,-2.37,92,76,2.31,57.39
oistins,26.0,74,75,6.7,13.07
hohen neuendorf,6.11,69,40,2.1,52.67
karlshamn,4.0,86,20,1.0,56.17
nantucket,6.67,60,1,9.3,41.28
wanning,10.56,81,75,2.1,48.64
padre paraiso,20.59,97,92,2.11,-17.07
hofn,2.74,100,76,4.01,64.25
iqaluit,-16.0,71,90,3.1,63.75
coquimbo,15.0,82,75,1.5,-29.95
port elizabeth,16.0,30,1,2.6,39.31
barrow,13.84,83,92,5.81,-38.31
cabo san lucas,27.22,41,5,4.6,22.89
boyolangu,23.49,95,64,1.66,-8.09
lorengau,28.04,99,68,4.01,-2.02
mango,15.0,47,0,2.1,44.69
pangnirtung,-9.12,70,76,13.81,66.15
prince george,11.11,52,1,1.5,53.92
port moresby,27.0,78,40,2.6,-9.47
ferme-neuve,-7.57,50,0,2.96,46.7
popondetta,23.19,85,92,0.86,-8.77
nouadhibou,18.0,82,0,1.5,20.93
naze,26.0,94,40,2.86,5.43
saskylakh,-23.52,70,64,1.46,71.97
longyearbyen,-11.0,66,20,4.1,78.22
kruisfontein,18.89,91,80,5.56,-34.0
san quintin,23.39,57,0,1.86,17.54
cayenne,26.0,78,0,3.6,4.94
nioro,25.89,42,36,4.91,13.79
russell,23.0,25,0,3.1,-33.01
gazanjyk,6.34,87,8,0.96,39.24
saint joseph,13.89,62,90,2.1,39.77
mahebourg,28.0,74,75,4.6,-20.41
shitanjing,4.44,3,0,1.34,39.23
macheng,6.99,85,56,1.41,31.18
khandyga,-16.07,63,0,1.16,62.65
vryburg,21.34,49,0,5.36,-26.96
sao bento do sul,24.0,88,20,0.5,-26.25
sao joao da barra,25.0,78,0,1.0,-21.64
port-gentil,25.0,94,20,0.5,-0.72
mezen,0.64,87,88,3.11,65.85
kargil,-17.87,85,44,0.56,34.56
haines junction,4.49,51,0,1.46,60.75
finnsnes,-1.0,63,75,10.8,69.23
sisophon,22.69,100,92,1.81,13.59
cherskiy,-17.02,60,0,2.31,68.75
mangrol,16.39,83,0,1.16,25.33
tiksi,-22.07,61,44,1.76,71.64
hibbing,3.0,34,1,4.6,47.43
les cayes,25.74,100,0,4.36,18.19
kavieng,28.89,100,64,3.71,-2.57
jalu,15.34,49,0,5.56,29.03
bilma,23.04,17,36,6.06,18.69
tessalit,22.39,20,88,2.06,20.2
pevek,-17.37,92,48,4.91,69.7
banyo,18.84,94,32,2.16,6.75
quatre cocos,28.0,74,75,4.6,-20.21
golyshmanovo,-3.77,84,56,3.86,56.4
bagdarin,-18.77,40,0,1.06,54.44
ponta do sol,20.24,87,20,1.31,-20.63
mabaruma,26.04,81,64,3.46,8.2
walla walla,13.89,66,75,5.7,46.06
solnechnyy,-8.77,70,0,1.41,50.72
